Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
XL,CO,MD,A,16.6,35.7,23.0,28.8,14.7,40.2,8.7
XL,CO,VH,A,45.6,24.2,29.0,73.2,20.2,23.6,8.7
L,CO,HI,A,34.1,34.3,26.6,79.9,19.1,40.5,8.7
L,SP,MD,A,9.0,17.4,25.5,64.4,26.0,41.4,8.7
L,SP,HI,A,15.9,18.5,43.2,70.7,26.0,23.9,8.6
XL,FO,HI,A,38.0,10.0,78.2,36.9,11.7,20.1,8.6
L,FO,MD,A,25.3,8.6,41.9,62.1,20.5,80.5,8.6
L,FO,MD,A,38.1,35.8,90.0,46.3,43.1,65.3,8.6
L,CO,HI,A,42.1,5.6,99.2,18.5,46.7,56.6,8.5
L,FC,MD,A,17.9,25.9,30.5,49.3,56.0,31.0,8.5
L,CO,MD,A,24.9,23.1,76.1,42.6,98.1,23.1,8.5
L,FC,HI,A,55.4,27.6,57.4,22.9,6.3,30.6,8.5
XL,FC,VH,A,27.5,37.1,45.2,65.7,59.5,14.8,8.5
XL,FC,MD,A,24.3,47.9,38.3,59.7,5.5,37.3,8.4
XL,FO,VH,A,17.0,49.9,47.0,60.4,29.3,54.9,8.4
L,CO,VH,A,42.0,10.9,71.3,24.8,52.0,25.7,8.4
L,CO,HI,A,9.6,42.0,82.5,30.2,36.2,48.9,8.4
L,CO,MD,A,21.1,20.4,91.2,17.8,69.3,49.8,8.3
XL,FC,MD,A,26.0,29.9,20.2,32.2,6.3,27.3,8.3
L,FO,HI,A,15.1,25.3,70.6,18.8,25.8,14.8,8.2
L,FO,VH,A,51.7,2.7,59.1,18.3,42.0,40.9,8.2
L,FC,MD,A,42.2,2.9,26.6,17.2,39.6,31.8,8.2
L,CO,HI,A,17.9,26.6,30.8,39.2,13.7,60.0,8.1
L,FC,HI,A,52.2,26.0,33.3,40.6,62.9,15.3,8.1
L,CO,VH,A,27.5,17.9,38.2,28.8,37.5,10.0,8.1
M,FO,VH,A,23.7,24.2,23.9,19.8,51.9,10.7,8.0
XL,FC,MD,A,5.3,34.1,88.8,55.0,38.7,21.0,8.0
L,FC,MD,A,48.6,16.6,50.1,49.9,59.8,39.7,8.0
L,CO,HI,A,57.6,21.9,29.0,24.1,19.3,14.6,8.0
M,CO,HI,B,24.3,17.8,30.3,78.2,33.7,16.1,8.0
M,CO,HI,B,15.4,30.4,42.9,69.7,49.3,44.5,8.0
XL,FC,LO,B,43.3,23.5,68.3,72.8,58.9,47.5,7.9
L,CO,HI,A,9.1,25.7,35.3,47.7,34.6,51.1,7.9
M,CO,HI,B,58.0,27.5,51.8,26.7,28.5,15.2,7.9
XL,CO,HI,A,8.1,22.1,35.6,58.3,23.4,40.5,7.8
M,CO,HI,A,59.2,33.4,30.2,20.4,19.3,41.2,7.8
L,CO,HI,A,17.8,25.3,28.2,20.7,34.4,14.8,7.8
L,CO,HI,A,16.8,9.1,74.2,31.2,54.8,53.0,7.8
XL,FC,VH,A,8.7,45.0,28.7,17.3,42.1,51.0,7.8
L,FO,VH,A,34.9,28.4,65.8,21.9,28.8,17.5,7.8
L,FO,HI,A,3.4,23.8,56.4,51.3,37.1,53.5,7.7
L,CO,VH,A,19.3,32.3,33.4,33.5,50.5,58.4,7.5
XL,FO,VH,B,54.6,35.8,29.6,70.8,59.9,51.2,7.5
L,FC,HI,A,55.2,11.6,91.9,26.4,9.7,46.0,7.5
XL,FO,HI,A,39.2,17.9,25.3,75.6,36.5,29.8,7.4
L,CO,MD,A,4.8,41.0,40.2,44.8,67.0,18.1,7.4
M,FO,HI,A,24.4,35.7,47.6,17.5,28.1,48.7,7.3
L,FO,HI,A,19.7,35.1,94.4,75.9,45.5,49.9,7.3
L,FO,VH,A,39.9,17.9,66.4,28.8,8.4,30.3,7.2
L,FC,HI,C,18.9,18.5,24.0,19.1,27.8,18.0,7.2
M,CO,VH,B,100.0,100.0,100.0,99.8,100.0,94.1,100.0
L,FC,VH,B,100.0,100.0,100.0,98.6,99.8,67.7,98.4
L,FC,VH,B,100.0,100.0,98.7,99.6,86.3,62.2,97.4
L,FC,VH,A,100.0,100.0,100.0,84.7,99.7,98.5,97.2
S,CO,VH,B,97.8,81.2,100.0,100.0,99.4,87.3,96.9
L,CO,VH,A,98.4,96.7,85.0,98.4,100.0,98.0,95.9
L,FC,VH,A,100.0,100.0,100.0,74.2,100.0,97.6,95.0
XL,FC,VH,A,99.3,98.7,98.1,76.7,99.1,100.0,94.8
L,FC,VH,A,98.6,99.9,99.8,72.1,100.0,100.0,94.1
L,FC,VH,B,99.5,93.7,96.5,78.5,70.2,81.0,92.0
L,FC,VH,A,92.1,93.8,93.9,88.8,100.0,74.2,91.8
XL,FC,VH,A,99.8,99.2,88.3,75.7,100.0,76.4,91.8
M,CO,VH,B,99.9,98.6,70.7,100.0,64.9,67.6,90.9
L,FC,VH,B,98.7,90.4,65.7,95.1,93.8,72.3,89.3
L,FC,VH,B,95.8,93.7,100.0,67.6,84.0,63.6,88.9
XL,FC,VH,A,97.4,99.1,92.4,80.4,68.0,30.1,88.6
L,FC,VH,B,99.9,99.9,100.0,53.5,78.1,57.4,87.7
L,FC,VH,B,99.7,97.6,100.0,53.0,40.1,96.9,87.4
M,FO,VH,A,75.6,77.6,96.6,98.9,100.0,100.0,87.4
XL,FC,VH,A,97.5,93.7,85.6,53.0,98.0,98.6,86.2
XL,FC,VH,A,98.9,94.4,91.0,61.6,79.7,44.1,86.0
XL,FC,VH,A,99.1,99.6,72.3,73.0,70.7,36.9,84.3
L,FC,VH,A,100.0,99.1,93.3,67.9,11.1,26.2,84.3
L,FC,VH,B,88.3,52.6,100.0,77.6,68.8,81.5,83.9
L,FC,VH,B,89.0,84.2,99.4,80.3,12.4,59.3,83.8
L,FC,VH,A,97.3,82.6,87.2,44.5,100.0,99.1,83.8
XL,FC,VH,A,94.9,97.7,74.1,51.5,92.6,98.6,82.7
XL,FC,VH,A,100.0,99.9,30.9,97.7,92.4,39.7,82.6
L,FC,VH,A,96.9,81.3,37.5,87.4,100.0,99.8,82.1
XL,FC,VH,A,98.9,96.3,71.5,43.9,97.7,93.0,82.1
L,FC,VH,B,85.9,80.2,100.0,62.8,76.1,49.0,81.5
M,CO,VH,A,85.0,71.3,59.5,89.5,100.0,87.5,80.6
L,FC,VH,A,88.5,80.4,82.3,52.0,98.5,99.8,80.5
L,FC,VH,A,98.7,92.5,96.3,53.2,15.4,17.5,80.5
L,FC,VH,A,92.2,93.8,63.3,58.4,93.7,96.2,80.4
XL,FC,VH,A,100.0,99.7,40.6,88.3,50.4,38.2,80.4
L,FC,VH,A,96.9,91.1,88.0,61.6,19.2,11.9,79.6
XL,FC,VH,A,99.2,98.1,24.1,75.0,97.6,100.0,79.5
XL,FC,VH,B,95.9,95.6,97.6,24.0,33.5,93.4,78.8
XL,FC,VH,A,83.4,93.8,86.5,57.8,92.7,42.9,78.6
M,CO,VH,A,85.0,74.5,73.9,98.1,25.8,10.1,77.9
XL,FC,VH,A,97.5,96.4,23.6,70.9,100.0,100.0,77.8
XL,FC,VH,A,91.2,95.7,19.8,84.5,100.0,98.5,77.1
M,SP,VH,A,78.9,99.7,34.8,91.1,100.0,100.0,77.0
XL,FC,VH,A,92.2,51.8,60.3,78.4,60.8,70.3,76.6
L,FC,VH,A,87.9,61.5,67.7,56.2,100.0,91.7,75.9
XL,FC,VH,A,88.5,82.2,27.7,81.8,100.0,99.5,75.7
L,FC,VH,B,75.2,77.5,43.5,94.3,83.6,99.9,74.8
L,FC,VH,A,76.6,84.2,72.8,61.8,89.4,75.6,74.5
L,CO,VH,A,71.2,88.2,46.4,90.0,99.3,87.8,74.2
XL,FC,VH,A,97.0,89.0,46.0,42.2,90.8,79.3,74.1
M,CO,VH,A,59.0,41.3,89.7,89.4,100.0,95.3,73.6
L,FC,VH,A,77.7,98.6,100.0,26.2,67.1,72.1,73.4
XL,FC,VH,A,67.7,86.5,78.6,63.9,95.4,62.9,72.4
XL,CO,VH,A,80.2,99.0,89.1,26.9,60.6,76.8,72.3
XL,FC,VH,A,87.8,49.7,85.5,50.0,57.2,30.9,71.8
M,FC,VH,B,61.9,58.2,81.1,86.6,86.0,56.0,71.5
XL,FC,VH,A,88.0,91.9,17.1,64.2,100.0,99.9,70.9
M,CO,VH,A,74.5,82.7,86.2,61.3,30.7,31.3,70.9
S,CO,VH,A,43.8,99.3,99.6,66.3,95.2,97.9,70.5
XL,FC,VH,A,79.6,93.6,53.7,65.5,84.1,20.1,70.5
L,FC,VH,A,74.4,94.1,55.3,50.3,97.8,99.1,70.4
XL,FC,VH,A,91.1,83.2,52.6,45.7,61.5,37.7,69.6
L,FC,VH,A,81.1,56.0,44.8,75.9,79.5,52.5,69.0
XL,FC,VH,A,94.2,83.3,12.1,93.4,6.9,18.6,68.6
L,FC,VH,A,80.0,50.6,96.7,34.8,52.8,44.2,68.4
L,FC,VH,A,72.2,58.9,63.7,55.0,93.7,96.5,68.2
XL,FC,VH,A,86.1,51.4,17.4,99.2,55.8,40.5,67.9
XL,FC,VH,A,89.8,82.4,41.9,59.7,20.8,30.4,67.3
L,FC,VH,A,68.2,72.0,90.7,41.5,62.8,57.2,67.1
L,FC,VH,A,80.8,67.5,80.3,46.2,23.1,14.3,66.5
L,CO,VH,A,71.1,81.7,15.1,100.0,60.4,65.8,66.2
XL,FC,VH,A,87.2,91.3,77.4,2.4,50.7,64.7,66.0
XL,FC,VH,A,89.0,58.1,13.5,86.3,19.3,67.2,65.9
L,FC,VH,A,58.6,64.5,99.7,38.7,100.0,59.4,65.8
XL,FC,VH,A,89.2,45.9,59.7,36.2,47.8,56.5,64.9
L,FC,VH,A,57.3,91.2,35.9,77.9,97.2,87.2,64.2
L,FC,VH,A,61.3,58.7,61.0,61.4,87.9,94.1,64.2
XL,FC,VH,A,79.1,64.3,11.8,85.3,90.0,37.5,64.1
L,FC,VH,A,65.6,78.8,54.8,49.3,91.8,85.7,64.0
XL,FC,VH,A,70.1,43.9,100.0,25.5,92.6,29.4,63.8
L,FC,VH,A,69.5,59.1,98.2,43.1,12.7,17.6,63.7
L,FC,VH,B,70.0,85.0,83.1,35.4,15.2,44.7,63.4
L,FC,VH,A,84.2,62.8,25.0,44.8,94.4,91.8,63.4
XL,FC,VH,A,73.6,84.9,99.7,7.2,18.0,56.1,63.2
M,FC,VH,B,40.1,22.7,84.0,93.6,89.8,90.6,63.1
L,FC,VH,A,62.4,59.8,20.8,88.3,100.0,98.7,62.9
S,FO,VH,B,41.3,40.8,99.9,99.3,35.3,3.6,62.6
L,CO,VH,A,56.2,26.1,81.1,98.5,16.9,5.7,62.3
XL,FC,VH,A,68.7,53.3,88.3,46.0,35.6,11.3,62.2
L,CO,VH,A,61.3,43.7,74.1,46.3,100.0,74.8,61.9
L,FC,VH,A,69.6,54.3,50.1,51.9,89.3,70.1,61.8
XL,FC,VH,A,76.5,80.4,31.6,67.8,21.4,38.6,61.7
XL,FC,VH,A,69.2,81.2,45.5,41.6,84.1,81.8,61.7
L,FC,VH,B,58.4,74.6,85.7,49.3,21.3,38.1,61.0
XL,FC,VH,A,60.3,73.2,52.4,49.7,92.1,82.1,60.8
L,FC,VH,A,50.8,52.5,59.0,68.1,96.1,92.8,60.6
L,FC,VH,B,63.1,57.5,53.8,62.1,33.8,88.6,60.5
L,CO,VH,A,47.5,68.4,63.0,72.8,96.9,48.7,60.5
M,FC,VH,A,45.2,51.6,65.3,67.4,98.7,99.8,59.9
XL,FC,VH,A,63.8,67.3,66.7,41.3,81.1,27.6,59.5
M,FO,VH,A,30.9,65.9,62.5,97.1,98.3,57.5,58.9
XL,FC,VH,A,90.9,91.0,57.6,3.8,13.8,4.3,58.8
XL,FC,VH,A,70.3,33.9,23.3,80.4,65.3,60.6,58.7
L,FC,VH,B,62.9,78.3,85.0,30.6,15.4,33.1,58.7
L,FC,VH,A,59.3,43.7,28.5,73.7,99.0,99.1,58.6
L,CO,VH,A,64.5,54.8,66.8,51.5,58.1,6.8,58.4
L,FC,VH,A,62.0,51.2,35.8,56.8,99.5,93.5,58.3
L,FC,VH,B,43.8,18.8,99.8,59.2,78.9,59.3,58.3
L,FC,VH,A,51.1,23.7,52.6,73.6,100.0,97.8,58.1
XL,FC,VH,A,63.8,68.9,30.9,55.6,97.1,61.1,57.8
M,FO,VH,A,30.5,27.1,99.9,65.9,99.5,83.0,57.4
XL,FC,VH,A,58.0,41.4,57.0,48.8,91.6,80.8,57.3
L,FC,VH,A,50.6,24.5,67.9,51.8,90.9,94.6,56.1
L,FC,VH,A,60.5,38.6,90.6,37.3,17.7,21.3,55.8
XL,FC,VH,A,88.3,73.3,25.2,35.2,8.9,3.7,55.5
L,FC,VH,A,65.8,32.6,46.2,56.9,65.5,37.1,55.5
XL,FC,VH,A,67.6,30.5,29.7,64.1,81.0,47.0,55.4
L,FC,VH,A,52.6,22.3,77.7,49.2,87.2,30.5,54.7
XL,FC,HI,A,88.3,54.0,12.2,33.9,52.9,34.6,54.5
XL,FC,VH,A,60.7,30.3,31.0,84.2,68.6,11.1,54.5
XL,FC,VH,A,62.8,32.3,42.5,66.0,56.7,28.1,54.5
M,CO,VH,A,30.3,38.2,63.7,90.6,100.0,46.6,54.3
L,CO,VH,A,46.3,88.9,29.5,72.6,60.0,64.3,54.2
M,CO,VH,B,30.5,61.4,66.3,73.1,96.8,56.0,54.0
L,FO,VH,A,37.4,22.0,95.6,57.7,38.6,82.1,54.0
L,FC,VH,A,52.6,41.9,34.4,58.8,98.5,97.9,53.9
L,FC,VH,B,85.2,95.5,28.6,13.6,19.4,4.2,53.4
L,FC,VH,A,40.4,27.0,52.5,70.6,94.5,97.3,53.2
XL,FC,VH,B,58.5,60.0,28.7,64.5,21.7,75.0,53.1
XL,FC,HI,A,80.2,49.0,5.4,46.0,62.8,49.4,53.0
XL,FC,VH,A,51.9,31.7,84.2,39.0,65.2,20.1,53.0
L,FC,VH,A,56.3,47.1,84.4,34.2,20.0,15.0,52.9
L,FC,VH,A,55.5,49.2,85.6,32.6,18.6,21.5,52.9
L,FO,VH,A,40.1,47.4,55.6,69.9,90.1,37.4,52.4
L,CO,VH,A,62.5,20.1,14.8,86.2,69.1,29.6,52.3
XL,FC,VH,A,54.1,34.8,50.9,70.0,26.4,26.5,52.1
XL,FC,VH,A,55.2,55.5,55.4,27.5,91.1,61.8,52.0
XL,FC,VH,A,55.3,97.2,13.0,59.0,42.4,68.2,51.9
S,FO,VH,A,15.8,100.0,88.7,45.4,72.1,90.1,51.4
L,FC,VH,A,40.4,42.5,85.0,32.4,97.9,45.1,51.2
L,FC,VH,A,44.6,21.9,96.2,49.0,15.3,23.6,51.2
L,CO,VH,A,44.3,80.6,10.1,68.2,98.3,93.8,51.2
XL,FC,VH,A,61.9,65.8,18.6,54.4,63.8,36.2,51.1
L,FC,VH,A,52.9,45.7,38.0,62.7,81.7,17.6,51.0
L,FC,VH,A,41.0,73.7,47.7,43.4,89.9,84.7,50.9
L,CO,VH,A,53.9,77.7,47.6,30.2,42.0,69.3,50.6
L,FC,VH,A,42.0,40.8,56.8,51.3,91.0,66.0,50.5
XL,FO,VH,A,60.4,84.3,6.3,56.9,44.6,54.5,50.4
L,FC,VH,B,46.8,68.4,77.2,30.8,25.4,34.8,50.3
M,FC,VH,A,30.4,25.0,37.8,91.3,100.0,86.4,50.0
M,CO,VH,A,54.5,71.2,45.8,54.6,3.4,1.6,49.4
L,CO,VH,A,35.3,23.0,68.4,52.8,99.2,69.0,49.2
L,FC,VH,A,48.6,38.3,52.5,37.9,79.1,69.8,49.0
XL,FC,VH,A,64.4,47.3,26.2,17.9,98.3,92.5,49.0
L,FC,VH,B,26.9,11.8,99.7,59.1,49.4,45.2,48.6
XL,FC,VH,A,66.2,26.1,31.9,58.2,6.9,18.8,48.6
L,FC,HI,B,36.9,88.9,89.5,4.6,98.2,18.4,48.5
L,FC,VH,A,44.8,44.4,73.2,20.9,58.8,82.3,48.4
S,CO,VH,A,35.4,10.4,97.0,47.9,59.5,20.3,48.3
L,FC,VH,A,50.9,44.7,87.8,13.1,24.0,38.9,48.3
L,FC,VH,A,39.4,38.5,77.9,43.4,71.1,11.6,48.2
M,FC,VH,A,34.1,13.0,79.5,60.8,88.6,10.1,48.1
L,FC,VH,A,38.8,57.2,41.5,49.0,92.0,80.6,48.1
XL,FC,VH,A,71.8,45.5,32.5,29.8,5.8,33.8,47.9
L,FC,VH,A,49.6,52.5,74.9,17.7,37.5,46.0,47.9
M,FC,VH,B,19.9,17.1,92.0,65.8,53.7,73.9,47.8
L,FC,VH,B,51.3,45.5,10.4,68.4,89.0,44.7,47.7
XL,FC,VH,A,50.9,48.3,74.0,29.6,18.7,13.0,47.7
L,FC,VH,A,46.3,25.7,89.4,17.8,59.7,32.1,47.3
L,FC,VH,A,53.0,24.4,38.6,50.6,64.9,48.3,47.3
M,FC,VH,B,25.0,7.4,100.0,42.4,67.3,90.6,47.3
L,CO,VH,A,36.9,63.0,25.6,56.0,98.2,90.7,47.0
L,CO,VH,A,47.5,59.6,32.2,65.8,24.6,18.0,46.8
L,FC,VH,A,28.9,36.0,43.5,64.9,99.5,96.5,46.8
XL,CO,VH,A,39.3,76.5,7.6,68.5,77.6,84.1,46.8
L,FC,VH,A,51.7,41.4,19.6,48.2,100.0,62.9,46.7
S,FC,VH,A,14.6,8.0,86.2,99.3,2.1,52.5,46.6
XL,FC,VH,A,74.7,46.3,6.0,46.8,14.0,13.5,46.6
XL,FC,VH,A,35.8,69.7,84.6,21.3,38.5,37.5,46.4
L,FC,VH,A,42.2,32.9,50.5,34.4,86.5,93.4,46.3
M,CO,VH,A,46.8,63.0,23.3,80.6,3.3,1.5,46.2
L,FO,VH,A,35.2,53.5,42.6,53.7,75.3,68.9,46.1
S,SP,VH,A,33.3,16.2,53.2,100.0,1.5,1.8,45.9
L,FC,VH,A,46.0,42.6,31.2,42.4,97.6,64.4,45.6
XL,FC,VH,A,28.5,36.8,71.3,38.6,99.0,60.6,45.2
M,FO,VH,A,21.1,35.1,39.8,81.2,94.4,83.0,45.2
XL,FC,VH,A,61.1,38.4,14.1,54.7,30.7,26.6,45.1
XL,FC,VH,A,60.9,59.7,13.5,50.6,20.3,12.7,45.0
XL,FC,VH,A,71.6,90.8,16.3,14.5,10.1,8.4,45.0
L,CO,VH,A,54.7,16.8,34.7,46.2,82.3,15.7,44.8
M,FO,VH,A,32.9,57.7,8.6,78.7,75.0,87.6,44.7
L,FC,VH,A,57.4,64.0,45.8,24.0,9.9,14.1,44.7
L,FC,VH,A,29.5,23.2,39.6,63.6,95.7,98.2,44.6
M,FC,VH,A,25.9,24.7,90.0,29.7,85.9,65.0,44.5
XL,FC,VH,A,51.2,19.0,66.1,24.1,45.1,26.6,44.2
L,FC,VH,A,47.5,47.6,28.3,44.4,71.3,40.9,44.1
L,FC,VH,A,39.2,46.6,64.3,46.1,14.6,15.8,44.1
XL,FC,VH,B,51.4,77.2,62.2,9.4,13.2,11.3,44.0
M,CO,VH,A,26.8,20.1,85.2,40.1,100.0,21.8,44.0
L,FC,VH,B,28.2,25.4,100.0,36.0,23.7,32.8,44.0
XL,CO,VH,B,58.6,86.9,32.2,7.9,31.6,35.8,43.7
XL,FC,VH,A,72.9,33.3,5.7,43.8,10.1,8.5,43.5
S,FO,VH,A,22.4,7.3,100.0,57.7,19.7,21.1,43.4
L,CO,VH,A,33.2,34.9,32.7,53.4,94.0,88.9,43.3
XL,CO,VH,A,37.9,25.5,63.3,50.4,37.2,14.1,43.2
L,CO,HI,A,34.0,60.7,98.6,1.2,40.8,26.1,43.1
M,FC,VH,B,20.8,28.9,76.8,71.5,5.8,35.1,43.1
L,FC,VH,A,34.1,31.0,32.8,57.4,100.0,63.4,43.1
L,CO,VH,B,29.8,42.6,67.3,49.8,43.1,20.6,42.9
L,FC,VH,A,30.4,65.7,9.1,73.5,98.4,50.1,42.8
XL,FC,VH,A,64.6,71.6,26.6,14.5,3.6,24.1,42.7
L,FC,VH,A,31.0,34.3,21.6,66.9,93.4,86.4,42.7
L,FC,VH,A,67.5,34.5,21.1,32.7,9.9,4.3,42.1
XL,CO,VH,A,42.0,29.9,12.2,67.9,64.1,56.6,42.0
L,CO,VH,A,47.0,36.0,13.4,44.3,99.3,59.2,42.0
L,FC,VH,A,31.1,15.3,39.4,76.7,54.4,26.2,41.4
L,CO,VH,A,33.9,45.0,73.3,22.7,27.3,53.7,41.4
L,FC,VH,A,35.4,40.5,7.8,95.4,35.2,11.8,41.3
XL,FC,VH,A,45.3,16.7,16.9,64.4,37.4,65.6,41.3
L,FC,VH,A,41.7,16.8,49.1,47.7,47.3,21.7,41.3
L,FO,VH,A,30.0,63.3,34.4,40.4,82.8,72.1,41.2
L,FC,VH,A,23.9,19.3,85.3,32.9,71.3,41.3,40.9
XL,CO,VH,A,42.8,46.9,10.1,45.9,98.9,52.6,40.7
S,SP,HI,A,4.7,43.2,95.1,28.2,95.0,99.7,40.7
L,FC,VH,A,40.8,53.4,42.5,39.7,17.7,26.4,40.4
L,FC,VH,B,34.2,42.8,67.6,26.7,16.6,47.3,40.1
M,CO,VH,A,28.9,52.1,45.8,54.6,29.1,31.5,40.0
XL,FC,VH,A,47.7,15.5,41.0,38.4,45.3,22.6,40.0
L,CO,VH,A,38.8,43.8,13.0,45.9,100.0,64.6,40.0
L,CO,VH,A,32.4,47.3,19.5,52.7,100.0,51.8,39.9
M,CO,VH,A,30.0,26.4,93.8,16.4,11.6,49.1,39.8
L,FC,VH,A,46.4,33.7,43.6,36.4,12.7,22.6,39.8
XL,FC,VH,A,34.1,39.0,30.6,43.2,84.5,61.2,39.7
L,FC,VH,A,38.6,31.3,87.9,6.0,6.9,35.8,39.6
L,FC,HI,B,54.4,87.9,27.6,8.1,32.1,3.1,39.6
XL,FC,VH,A,55.1,38.7,13.3,49.8,12.5,6.1,39.6
L,FC,VH,A,30.6,47.3,23.6,40.5,96.5,95.8,39.5
XL,CO,VH,A,37.1,63.1,12.3,29.2,100.0,93.2,39.2
L,CO,VH,A,22.1,22.1,24.6,65.1,97.4,100.0,39.0
L,FC,VH,A,36.2,69.9,8.7,53.5,72.8,25.4,39.0
L,FC,VH,A,24.6,18.5,44.5,48.5,83.1,89.1,39.0
M,SP,VH,A,22.3,32.6,89.1,5.1,56.0,99.2,38.9
XL,FC,VH,A,49.6,16.7,46.6,22.3,40.9,26.4,38.8
M,FC,VH,B,24.6,52.9,63.1,15.2,90.2,64.6,38.7
M,FC,VH,B,31.0,75.1,44.1,25.8,21.6,68.1,38.5
L,FC,HI,A,28.7,11.0,29.3,51.2,96.9,95.6,38.4
XL,FC,HI,A,62.4,56.5,25.6,8.5,11.5,2.5,38.3
L,FC,VH,B,27.1,32.4,87.8,18.4,15.2,41.1,38.3
S,FO,VH,A,8.7,53.9,92.1,20.2,27.1,99.7,37.8
M,FO,VH,A,24.4,30.6,64.2,43.6,24.3,36.7,37.6
L,FC,VH,A,33.8,58.6,11.0,38.0,71.3,95.5,37.6
M,FC,VH,B,20.2,9.8,78.9,45.7,29.4,38.5,37.5
XL,FC,HI,A,61.5,89.7,11.1,5.3,8.3,1.3,37.5
XL,FC,VH,A,48.5,7.6,33.5,46.1,19.1,7.5,37.5
L,FC,VH,A,37.7,12.2,57.1,32.0,43.7,17.6,37.3
L,FC,VH,A,28.4,34.7,24.6,69.5,64.0,3.8,37.2
XL,FC,VH,A,38.0,51.3,21.7,46.5,50.7,10.7,37.2
L,FC,HI,A,22.4,24.4,73.7,16.1,90.9,61.1,37.1
L,FO,VH,A,20.0,71.1,6.5,72.9,51.9,65.0,37.0
M,FC,VH,A,18.6,15.4,41.5,49.8,99.9,90.4,36.9
XL,CO,VH,A,39.4,32.0,49.3,23.3,27.1,36.6,36.8
L,CO,VH,A,27.1,13.0,80.4,21.3,42.9,40.3,36.8
XL,FC,VH,A,41.9,20.1,37.6,41.9,21.7,17.5,36.8
XL,FC,VH,A,32.2,9.6,26.2,58.4,89.1,27.9,36.7
L,FC,HI,A,20.4,19.9,66.1,16.0,98.4,99.3,36.6
M,CO,VH,A,19.7,17.8,14.9,75.3,97.8,78.3,36.6
S,SP,VH,A,9.3,9.7,77.3,42.2,100.0,55.6,36.5
M,CO,VH,A,20.5,17.3,99.8,4.5,23.4,88.9,36.5
L,FC,VH,A,35.0,13.1,70.3,22.3,16.0,30.4,36.3
XL,FC,VH,A,30.1,44.2,6.4,47.6,97.1,77.0,36.1
M,CO,VH,A,35.3,47.3,28.0,56.4,3.4,1.6,36.1
L,FC,VH,B,22.2,23.8,62.7,49.2,7.6,39.4,36.1
L,CO,VH,A,25.1,19.9,27.5,51.9,100.0,58.2,35.9
L,CO,VH,A,22.5,29.3,25.4,45.3,96.6,97.0,35.9
M,FC,VH,A,16.9,28.3,66.4,14.3,100.0,98.3,35.8
L,CO,VH,A,39.0,12.3,31.2,48.6,23.6,31.4,35.7
XL,FO,VH,A,21.8,7.3,52.6,72.9,10.8,10.0,35.7
L,CO,VH,A,26.0,55.0,8.2,65.9,34.2,61.2,35.6
L,FC,VH,A,19.1,19.1,23.7,61.8,100.0,73.4,35.4
M,FO,VH,A,26.6,41.1,21.6,78.4,5.3,1.0,35.2
XL,FC,VH,A,28.3,16.8,69.0,15.9,91.5,11.3,35.2
XL,FC,VH,A,25.2,37.2,7.6,62.0,91.3,56.7,35.2
L,CO,HI,A,21.0,53.4,100.0,1.2,8.5,12.4,35.1
XL,CO,VH,A,32.0,19.7,30.3,47.8,60.7,29.1,35.0
M,CO,VH,A,31.6,30.9,17.3,55.6,66.3,25.8,35.0
M,CO,VH,A,29.1,30.7,24.3,27.7,98.6,94.8,34.9
S,FC,VH,A,14.4,16.9,99.9,33.2,5.8,7.8,34.9
XL,FC,VH,A,35.3,33.2,49.7,32.2,11.4,7.6,34.9
L,FC,VH,A,26.1,41.4,60.0,32.9,27.2,5.7,34.9
XL,FC,VH,A,41.6,37.5,43.2,11.7,19.4,46.6,34.8
M,CO,VH,A,29.9,32.4,14.1,82.3,1.9,1.3,34.8
M,CO,VH,A,18.6,12.4,26.8,55.0,98.0,95.2,34.8
XL,FC,VH,A,49.9,36.8,23.7,19.0,15.8,33.5,34.8
L,CO,VH,A,21.0,10.1,21.1,58.6,90.8,96.2,34.8
XL,FC,HI,A,39.5,47.3,43.4,1.9,94.5,5.0,34.7
L,CO,VH,A,26.1,47.5,26.4,28.2,94.0,75.4,34.7
L,FO,VH,A,30.5,51.5,60.7,9.7,36.5,25.2,34.6
S,CO,VH,A,13.4,6.2,94.9,6.2,100.0,66.2,34.6
L,CO,VH,A,34.7,35.2,53.1,22.1,10.4,28.8,34.5
M,FC,VH,A,23.7,21.9,82.7,17.8,27.2,23.3,34.4
M,FO,VH,A,14.9,27.8,97.9,11.4,32.7,39.3,34.3
XL,FC,VH,A,48.4,23.3,10.7,46.8,10.8,8.3,34.3
L,FC,HI,A,19.1,10.2,67.2,24.2,86.5,58.3,34.3
XL,FO,HI,A,58.3,48.2,5.5,3.6,21.0,61.2,34.2
L,CO,VH,A,42.1,16.6,18.1,51.3,16.2,18.0,34.2
XL,FC,VH,A,24.8,28.4,43.8,54.0,20.9,11.6,34.1
XL,FC,VH,A,38.2,42.9,28.6,20.4,53.2,37.7,34.0
S,SP,VH,A,22.6,11.8,47.5,20.3,100.0,100.0,33.9
L,FC,VH,A,28.8,30.0,36.1,24.1,93.0,46.8,33.7
M,FO,VH,A,12.8,11.2,88.4,17.4,67.1,54.5,33.6
S,CO,VH,A,15.1,8.6,91.4,25.9,29.1,31.8,33.5
